latitude,longitude,source
42.3702,-71.0394,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3209,-71.0622,Employee Generated
42.3594,-71.0587,Employee Generated
42.2857,-71.0455,Employee Generated
42.3736,-71.0336,Employee Generated
42.3731,-71.0348,Employee Generated
42.3743,-71.0368,Employee Generated
42.3751,-71.0359,Employee Generated
42.3751,-71.0381,Employee Generated
42.3751,-71.0379,Employee Generated
42.3752,-71.0377,Employee Generated
42.3699,-71.0361,Employee Generated
42.3701,-71.0358,Employee Generated
42.341,-71.0758,Employee Generated
42.3594,-71.0587,Employee Generated
42.3076,-71.0668,Employee Generated
42.3111,-71.0714,Employee Generated
42.3727,-71.0384,Employee Generated
42.3376,-71.0779,Employee Generated
42.2894,-71.0615,Employee Generated
42.2886,-71.072,Employee Generated
42.3731,-71.0396,Employee Generated
42.3895,-70.9987,Employee Generated
42.3889,-71.0002,Employee Generated
42.3594,-71.0587,Employee Generated
42.2676,-71.1276,Employee Generated
42.3594,-71.0587,Employee Generated
42.2911,-71.072,Employee Generated
42.3816,-71.0288,Employee Generated
42.352,-71.141,Employee Generated
42.3594,-71.0587,Employee Generated
42.361,-71.0673,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3504,-71.0558,Employee Generated
42.3655,-71.0565,Employee Generated
42.3656,-71.0566,Employee Generated
42.367,-71.0537,Employee Generated
42.3594,-71.0587,Employee Generated
42.3336,-71.0523,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.2827,-71.0725,Employee Generated
42.3594,-71.0587,Employee Generated
42.3423,-71.0751,Employee Generated
42.2819,-71.0912,Employee Generated
42.3171,-71.0839,Employee Generated
42.2801,-71.1283,Employee Generated
42.3812,-71.0227,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.2911,-71.0408,Employee Generated
42.3278,-71.0672,Employee Generated
42.3587,-71.0709,Employee Generated
42.3469,-71.0718,Employee Generated
42.3394,-71.072,Employee Generated
42.3594,-71.0587,Employee Generated
42.3382,-71.0731,Employee Generated
42.3388,-71.0818,Employee Generated
42.3396,-71.0653,Employee Generated
42.3869,-71.0068,Employee Generated
42.3883,-71.0019,Employee Generated
42.3892,-70.9977,Employee Generated
42.3775,-71.0337,Employee Generated
42.2918,-71.1689,Employee Generated
42.2645,-71.1668,Employee Generated
42.2766,-71.1347,Employee Generated
42.3507,-71.1647,Employee Generated
42.3829,-71.0398,Employee Generated
42.3821,-71.0409,Employee Generated
42.3821,-71.04,Employee Generated
42.3112,-71.0752,Employee Generated
42.3786,-71.039,Employee Generated
42.3683,-71.038,Employee Generated
42.3683,-71.038,Employee Generated
42.3442,-71.0896,Employee Generated
42.3594,-71.0587,Employee Generated
42.3797,-71.0267,Employee Generated
42.302,-71.0823,Employee Generated
42.3589,-71.0709,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3453,-71.1533,Employee Generated
42.3517,-71.1245,Employee Generated
42.3496,-71.1315,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.339,-71.1516,Employee Generated
42.3793,-71.066,Employee Generated
42.3791,-71.0691,Employee Generated
42.377,-71.0617,Employee Generated
42.3793,-71.059,Employee Generated
42.2933,-71.1561,Employee Generated
42.3535,-71.0787,Employee Generated
42.3535,-71.0787,Employee Generated
42.3506,-71.0846,Employee Generated
42.3462,-71.0789,Employee Generated
42.3455,-71.0797,Employee Generated
42.2948,-71.1414,Employee Generated
42.2667,-71.1145,Employee Generated
42.3049,-71.1309,Employee Generated
42.3464,-71.0782,Employee Generated
42.2795,-71.0756,Employee Generated
42.2861,-71.137,Employee Generated
42.3793,-71.0296,Employee Generated
42.2829,-71.0928,Employee Generated
42.3744,-71.0363,Employee Generated
42.3746,-71.0372,Employee Generated
42.3751,-71.0372,Employee Generated
42.3594,-71.0587,Employee Generated
42.3729,-71.0359,Employee Generated
42.3399,-71.0553,Employee Generated
42.2798,-71.1221,Employee Generated
42.3315,-71.0401,Employee Generated
42.3583,-71.0533,Employee Generated
42.3822,-71.0688,Employee Generated
42.2995,-71.0505,Employee Generated
42.3294,-71.0975,Employee Generated
42.3288,-71.0983,Employee Generated
42.3594,-71.0587,Employee Generated
42.3505,-71.0769,Employee Generated
42.3581,-71.0703,Employee Generated
42.3501,-71.172,Employee Generated
42.3076,-71.0668,Employee Generated
42.3111,-71.0714,Employee Generated
42.3111,-71.0714,Employee Generated
42.3169,-71.0608,Employee Generated
42.3169,-71.0608,Employee Generated
42.2722,-71.0689,Employee Generated
42.2477,-71.1265,Employee Generated
42.3167,-71.0978,Employee Generated
42.347,-71.0728,Employee Generated
42.3594,-71.0587,Employee Generated
42.3755,-71.0548,Employee Generated
42.3275,-71.0689,Employee Generated
42.3876,-71.003,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3366,-71.0478,Employee Generated
42.3833,-71.0755,Employee Generated
42.3392,-71.0786,Employee Generated
42.3425,-71.0865,Employee Generated
42.3824,-71.0402,Employee Generated
42.3829,-71.0398,Employee Generated
42.3822,-71.0402,Employee Generated
42.3815,-71.0389,Employee Generated
42.3789,-71.0399,Employee Generated
42.3478,-71.1033,Employee Generated
42.2932,-71.1406,Employee Generated
42.3128,-71.0934,Employee Generated
42.3594,-71.0587,Employee Generated
42.3862,-71.0077,Employee Generated
42.3667,-71.0547,Employee Generated
42.3778,-71.0547,Employee Generated
42.3581,-71.0531,Employee Generated
42.3413,-71.0757,Employee Generated
42.3594,-71.0587,Employee Generated
42.2883,-71.0592,Employee Generated
42.3594,-71.0587,Employee Generated
42.3553,-71.1712,Employee Generated
42.3411,-71.1553,Employee Generated
42.3509,-71.1292,Employee Generated
42.3776,-71.0682,Employee Generated
42.3594,-71.0587,Employee Generated
42.3664,-71.0329,Employee Generated
42.3824,-71.0336,Employee Generated
42.3807,-71.0258,Employee Generated
42.37,-71.0382,Employee Generated
42.3689,-71.0356,Employee Generated
42.3699,-71.0354,Employee Generated
42.3694,-71.0328,Employee Generated
42.3695,-71.0372,Employee Generated
42.2699,-71.1637,Employee Generated
42.3594,-71.0587,Employee Generated
42.3265,-71.0967,Employee Generated
42.3758,-71.0629,Employee Generated
42.3375,-71.0821,Employee Generated
42.3088,-71.1263,Employee Generated
42.3584,-71.0672,Employee Generated
42.3594,-71.0587,Employee Generated
42.2934,-71.0906,Employee Generated
42.2684,-71.1329,Employee Generated
42.3832,-71.0151,Employee Generated
42.3667,-71.0358,Employee Generated
42.3913,-71.0083,Employee Generated
42.3779,-71.0326,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3824,-71.0402,Employee Generated
42.3833,-71.0755,Employee Generated
42.3787,-71.0343,Employee Generated
42.3798,-71.0583,Employee Generated
42.3802,-71.0273,Employee Generated
42.3594,-71.0587,Employee Generated
42.3733,-71.0351,Employee Generated
42.3751,-71.0359,Employee Generated
42.3748,-71.0363,Employee Generated
42.3594,-71.0587,Employee Generated
42.3455,-71.0852,Employee Generated
42.3594,-71.0587,Employee Generated
42.3463,-71.0718,Employee Generated
42.3434,-71.0773,Employee Generated
42.3819,-71.0196,Employee Generated
42.3621,-71.0532,Employee Generated
42.2903,-71.1232,Employee Generated
42.3269,-71.1056,Employee Generated
42.3076,-71.0668,Employee Generated
42.3111,-71.0714,Employee Generated
42.3111,-71.0714,Employee Generated
42.3111,-71.0714,Employee Generated
42.3203,-71.0622,Employee Generated
42.388,-71.0063,Employee Generated
42.3045,-71.077,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.2872,-71.1442,Employee Generated
42.3018,-71.0514,Employee Generated
42.3594,-71.0587,Employee Generated
42.2822,-71.0818,Employee Generated
42.2822,-71.0818,Employee Generated
42.2921,-71.168,Employee Generated
42.3895,-70.9987,Employee Generated
42.2772,-71.1007,Employee Generated
42.3812,-71.0291,Employee Generated
42.3594,-71.0587,Employee Generated
42.2611,-71.1621,Employee Generated
42.2634,-71.1561,Employee Generated
42.3594,-71.0587,Employee Generated
42.3504,-71.0558,Employee Generated
42.3504,-71.0558,Employee Generated
42.3594,-71.0587,Employee Generated
42.3673,-71.0535,Employee Generated
42.3577,-71.0701,Employee Generated
