subject,latitude,longitude
Inspectional Services,42.3518,-71.0803
Parks & Recreation Department,42.2932,-71.1543
Inspectional Services,42.3465,-71.0753
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3537,-71.0639
Inspectional Services,42.3428,-71.0857
Parks & Recreation Department,42.2822,-71.0818
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.2754,-71.1458
Parks & Recreation Department,42.2926,-71.0496
Inspectional Services,42.3063,-71.0838
Inspectional Services,42.3543,-71.1377
Inspectional Services,42.3451,-71.1431
Inspectional Services,42.283,-71.0547
Inspectional Services,42.3545,-71.0536
Inspectional Services,42.3304,-71.0845
Inspectional Services,42.3249,-71.1085
Inspectional Services,42.3362,-71.0506
Parks & Recreation Department,42.3899,-71.0023
Inspectional Services,42.3555,-71.0614
Inspectional Services,42.283,-71.0708
Inspectional Services,42.3602,-71.0548
Parks & Recreation Department,42.3372,-71.1088
Inspectional Services,42.3652,-71.0568
Inspectional Services,42.3705,-71.0341
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3656,-71.0564
Parks & Recreation Department,42.2811,-71.0974
Inspectional Services,42.33,-71.1043
Inspectional Services,42.3358,-71.0465
Parks & Recreation Department,42.2934,-71.0801
Parks & Recreation Department,42.266,-71.1255
Inspectional Services,42.2879,-71.0861
Inspectional Services,42.2879,-71.0861
Parks & Recreation Department,42.276,-71.1277
Inspectional Services,42.2724,-71.0678
Inspectional Services,42.33,-71.0809
Parks & Recreation Department,42.2755,-71.0659
Inspectional Services,42.3297,-71.0361
Inspectional Services,42.3374,-71.0447
Inspectional Services,42.3588,-71.0627
Inspectional Services,42.3609,-71.0653
Inspectional Services,42.2782,-71.0939
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3455,-71.0797
Inspectional Services,42.2689,-71.1006
Inspectional Services,42.3001,-71.0631
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.292,-71.1176
Parks & Recreation Department,42.3029,-71.0876
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.269,-71.1321
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3502,-71.0682
Inspectional Services,42.2733,-71.0703
Inspectional Services,42.301,-71.0842
Inspectional Services,42.3299,-71.093
Parks & Recreation Department,42.2844,-71.1502
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3554,-71.0638
Parks & Recreation Department,42.2855,-71.1625
Parks & Recreation Department,42.3423,-71.0515
Parks & Recreation Department,42.2873,-71.1386
Inspectional Services,42.3203,-71.056
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3354,-71.0398
Parks & Recreation Department,42.3609,-71.0571
Inspectional Services,42.3395,-71.1504
Parks & Recreation Department,42.3455,-71.0851
Inspectional Services,42.263,-71.109
Inspectional Services,42.3751,-71.0334
Inspectional Services,42.3064,-71.0677
Parks & Recreation Department,42.3046,-71.0638
Inspectional Services,42.3514,-71.1742
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3785,-71.0352
Inspectional Services,42.2372,-71.1325
Inspectional Services,42.365,-71.0535
Inspectional Services,42.3602,-71.1385
Inspectional Services,42.2856,-71.0536
Inspectional Services,42.3194,-71.1009
Inspectional Services,42.3179,-71.086
Inspectional Services,42.3159,-71.0631
Parks & Recreation Department,42.3347,-71.032
Inspectional Services,42.3665,-71.0552
Inspectional Services,42.3458,-71.084
Inspectional Services,42.3279,-71.0673
Inspectional Services,42.361,-71.0647
Parks & Recreation Department,42.3424,-71.0866
Parks & Recreation Department,42.2807,-71.1778
Inspectional Services,42.3536,-71.0785
Inspectional Services,42.3456,-71.1041
Inspectional Services,42.2874,-71.149
Inspectional Services,42.3661,-71.033
Inspectional Services,42.3412,-71.0913
Inspectional Services,42.3511,-71.0862
Inspectional Services,42.3394,-71.0797
Inspectional Services,42.2697,-71.099
Inspectional Services,42.2879,-71.0729
Parks & Recreation Department,42.3158,-71.0853
Inspectional Services,42.2973,-71.0793
Parks & Recreation Department,42.26,-71.1618
Parks & Recreation Department,42.3061,-71.0842
Parks & Recreation Department,42.313,-71.0937
Inspectional Services,42.3297,-71.0939
Inspectional Services,42.2926,-71.0557
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.2799,-71.1139
Parks & Recreation Department,42.2789,-71.141
Inspectional Services,42.3418,-71.073
Inspectional Services,42.3178,-71.0578
Inspectional Services,42.2723,-71.1092
Inspectional Services,42.3022,-71.1053
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3106,-71.0894
Inspectional Services,42.3132,-71.0766
Inspectional Services,42.3264,-71.065
